Event           Amount          Date            Balance         
BuyStock        $105.30         12/17/2023      $9894.70        
BuyStock        $153.80         12/17/2023      $9740.90        
BuyStock        $395.84         12/17/2023      $9345.06        
BuyStock        $340.02         12/17/2023      $9005.04        
Deposit         $20.00          12/17/2023      $9025.04        
Withdraw        $1.70           12/17/2023      $9023.34        
Withdraw        $200.00         12/17/2023      $8823.34        
Deposit         $10.00          12/17/2023      $8833.34        
SellStock       $16.38          12/17/2023      $8849.72        
BuyStock        $244.60         12/17/2023      $8605.12        
BuyStock        $517.00         12/17/2023      $8088.12        
Withdraw        $10.00          12/17/2023      $8078.12        
BuyStock        $96.92          12/17/2023      $7981.20        
Deposit         $100.00         12/18/2023      $8081.20        
BuyStock        $459.30         12/18/2023      $7621.90        
Deposit         $10.00          12/18/2023      $7631.90        
Withdraw        $1.00           12/18/2023      $7630.90        
BuyStock        $123.60         12/18/2023      $7507.30        
SellStock       $59.24          12/18/2023      $7566.54        
